entity_id	entity_name	domain	candidate_qid	candidate_label	candidate_description	confidence_score	match_reason	status
water.basic-treatment	Basic Water Treatment	water				0.0	zero_results	no_match
water.desalination	Desalination	water				0.0	zero_results	no_match
water.distribution	Water Distribution	water				0.0	zero_results	no_match
water.procurement	Water Procurement	water				0.0	zero_results	no_match
water.sewage	Sewage Collection & Treatment	water				0.0	zero_results	no_match
water	Water	water				0.0	zero_results	no_match
foundations.fire	Fire-Making	foundations				0.0	zero_results	no_match
foundations.food-agriculture	Agriculture & Food Production	foundations				0.0	zero_results	no_match
foundations	Foundations	foundations				0.0	zero_results	no_match
foundations.tools-basic	Stone & Wood Tools	foundations				0.0	zero_results	no_match
foundations.water-procurement	Water Procurement	foundations				0.0	zero_results	no_match
machine-tools.bearings-abrasives	Bearings, Abrasives & Cutting Tools	machine-tools				0.0	zero_results	no_match
machine-tools.casting	Metal Casting	machine-tools				0.0	zero_results	no_match
machine-tools.edm-cnc	EDM, CNC & Precision Grinding	machine-tools				0.0	zero_results	no_match
machine-tools.forming	Metal Forming	machine-tools				0.0	zero_results	no_match
machine-tools.iterative-bootstrap	Iterative Machine Bootstrap	machine-tools				0.0	zero_results	no_match
machine-tools.joining.diffusion-bonding	Diffusion Bonding	machine-tools				0.0	zero_results	no_match
machine-tools.joining.electron-beam	Electron Beam Welding	machine-tools				0.0	zero_results	no_match
machine-tools.joining.friction-stir	Friction Stir Welding	machine-tools				0.0	zero_results	no_match
machine-tools.joining	Metal Joining	machine-tools				0.0	zero_results	no_match
machine-tools.joining.laser-welding	Laser Welding	machine-tools				0.0	zero_results	no_match
machine-tools.joining.mig-welding	MIG Welding (GMAW)	machine-tools				0.0	zero_results	no_match
machine-tools.joining.resistance-welding	Resistance Welding (Spot & Seam)	machine-tools				0.0	zero_results	no_match
machine-tools.joining.tig-welding	TIG Welding (GTAW)	machine-tools				0.0	zero_results	no_match
machine-tools.joining.ultrasonic-bonding	Ultrasonic Welding & Wire Bonding	machine-tools				0.0	zero_results	no_match
machine-tools	Machine Tools Bootstrap	machine-tools				0.0	zero_results	no_match
machine-tools.machining	Machining	machine-tools				0.0	zero_results	no_match
petroleum.extraction.cable-tool	Cable-Tool Drilling	petroleum				0.0	zero_results	no_match
